# No		1
# RA		2,3,4
# Dec		5,6,7
# Num		8
# oRA		9
# oDec		10
# V		11
# V-I		12
# B-V		13
# U-B		14
# e_V		15
# e_V-I		16
# e_B-V		17
# RA		18
# Dec		19

   65  06 08 14.42  +24 24 25.9    65   -9.588    2.845  16.482   0.882   0.678   0.149   0.004   0.006   0.005  092.060101  +24.407182 x 0
   66  06 08 14.55  +24 21 51.2    66   -9.563    0.267  16.956   0.828   0.639   0.243   0.003   0.009   0.018  092.060618  +24.364216 x 0
   67  06 08 14.67  +24 14 44.2    67   -9.545   -6.849  11.823   0.698   0.594   0.099   0.001   0.003   0.008  092.061111  +24.245617 x 0
   68  06 08 14.68  +24 29 20.8    68   -9.524    7.760  16.243   1.477   1.294   0.820   0.011   0.013   0.014  092.061160  +24.489100 x 0
   69  06 08 15.03  +24 12 36.9    69   -9.465   -8.971  16.471   1.048   0.893   0.242   0.006   0.018   0.011  092.062622  +24.210253 x 0
   70  06 08 15.10  +24 12 24.9    70   -9.449   -9.171  14.947   1.540   1.300   0.831   0.002   0.003   0.010  092.062919  +24.206920 x 0
   71  06 08 15.11  +24 20 12.5    71   -9.438   -1.377  14.871   0.605   0.454   0.316   0.008   0.008   0.013  092.062942  +24.336819 x 0
   72  06 08 15.11  +24 28 54.4    72   -9.426    7.321  16.119   0.784   0.601   0.204   0.013   0.014   0.013  092.062964  +24.481785 x 0
   73  06 08 15.23  +24 26 47.9    73   -9.401    5.212  15.880   0.468   0.356   0.210   0.003   0.005   0.003  092.063470  +24.446636 x 0
   74  06 08 15.31  +24 14 16.8    74   -9.399   -7.306  16.027   1.193   1.034   0.803   0.021   0.026   0.024  092.063790  +24.238004 x 0
   75  06 08 15.44  +24 25 26.4    75   -9.355    3.854  15.194   1.003   0.824   0.261   0.003   0.023   0.004  092.064343  +24.424004 x 0
   76  06 08 15.56  +24 16 26.1    76   -9.340   -5.151  14.544   0.571   0.460   0.268   0.009   0.009   0.012  092.064820  +24.273921 x 0
   77  06 08 15.50  +24 30 26.4    77   -9.335    8.854  16.808   1.002   0.757   0.252   0.009   0.017   0.017  092.064596  +24.507337 x 0
   78  06 08 15.66  +24 13 27.6    78   -9.321   -8.127  16.356   0.822   0.626   0.330   0.013   0.017   0.013  092.065234  +24.224322 x 0
   79  06 08 15.70  +24 13 02.9    79   -9.311   -8.538  16.623   0.888   0.665   0.240   0.014   0.022   0.022  092.065426  +24.217472 x 0
   80  06 08 15.84  +24 12 04.1    80   -9.280   -9.518  16.480   1.118   0.874   0.251   0.008   0.011   0.010  092.066014  +24.201140 x 0
   81  06 08 15.76  +24 28 55.6    81   -9.278    7.340  12.693   1.672   1.606   1.710   0.020   0.029   0.023  092.065674  +24.482105 x 0
   82  06 08 15.87  +24 13 30.5    82   -9.272   -8.078  13.641   0.496   0.380   0.292   0.004   0.009   0.006  092.066129  +24.225140 x 0
   83  06 08 16.23  +24 22 12.7    83   -9.179    0.625  16.763   0.655   0.503   0.287   0.010   0.018   0.012  092.067636  +24.370191 x 0
   84  06 08 16.27  +24 18 30.2    84   -9.174   -3.083  13.362   1.339   1.201   0.805   0.016   0.022   0.019  092.067809  +24.308391 x 0
   85  06 08 16.22  +24 30 57.7    85   -9.171    9.376  16.649   1.243   0.850   0.087   0.015   0.038   0.023  092.067589  +24.516040 x 0
   86  06 08 16.34  +24 22 37.6    86   -9.155    1.040  16.684   1.200   0.998   0.377   0.000   0.002   0.012  092.068066  +24.377108 x 0
   87  06 08 17.01  +24 18 26.7    87   -9.007   -3.142  16.502   0.976   0.776   0.103   0.014   0.014   0.017  092.070865  +24.307411 x 0
   88  06 08 17.07  +24 27 01.4    88   -8.982    5.436  15.742   1.041   0.919   0.436   0.003   0.005   0.003  092.071136  +24.450378 x 0
   89  06 08 17.14  +24 25 35.0    89   -8.968    3.997  15.896   0.965   0.792   0.221   0.011   0.021   0.018  092.071424  +24.426395 x 0
   90  06 08 17.19  +24 16 06.2    90   -8.968   -5.484  16.870   1.288   1.065   0.463   0.011   0.011   0.011  092.071629  +24.268379 x 0
   91  06 08 17.42  +24 19 44.1    91   -8.911   -1.852  11.318   0.250   0.181   0.096   0.014   0.029   0.021  092.072593  +24.328913 A0 1
   92  06 08 17.47  +24 22 44.0    92   -8.897    1.147  16.897   0.991   0.768   0.197   0.022   0.023   0.022  092.072784  +24.378896 x 0
   93  06 08 17.43  +24 30 33.2    93   -8.897    8.966  16.755   1.182   0.996   0.557   0.007   0.017   0.008  092.072617  +24.509212 x 0
   94  06 08 17.51  +24 19 09.3    94   -8.892   -2.431  14.764   0.482   0.399   0.294   0.011   0.012   0.012  092.072952  +24.319263 x 0
   95  06 08 17.52  +24 21 13.8    95   -8.887   -0.357  16.438   0.511   0.378   0.195   0.012   0.012   0.019  092.073000  +24.353830 x 0
   96  06 08 17.54  +24 21 28.6    96   -8.882   -0.110  16.647   1.038   0.856   0.246   0.008   0.017   0.026  092.073086  +24.357947 x 0
   97  06 08 17.57  +24 17 28.7    97   -8.881   -4.108  16.688   1.084   0.979   0.511   0.012   0.031   0.020  092.073190  +24.291314 x 0
   98  06 08 17.59  +24 29 10.2    98   -8.862    7.584  11.070   0.227   0.181   0.069   0.018   0.024   0.019  092.073287  +24.486180 x 0
   99  06 08 17.71  +24 16 04.7    99   -8.849   -5.508  15.770   1.013   0.908   0.449   0.006   0.014   0.011  092.073805  +24.267981 x 0
  100  06 08 17.73  +24 16 28.6   100   -8.845   -5.111  15.516   0.634   0.520   0.259   0.005   0.006   0.013  092.073869  +24.274598 x 0
  101  06 08 17.79  +24 12 25.4   101   -8.835   -9.164  15.306   1.128   0.935   0.420   0.004   0.006   0.005  092.074138  +24.207049 x 0
  102  06 08 18.07  +24 27 15.6   102   -8.754    5.673  16.007   0.670   0.531   0.256   0.022   0.022   0.022  092.075306  +24.454332 x 0
  103  06 08 18.14  +24 30 56.2   103   -8.735    9.349  16.562   1.111   0.870   0.242   0.002   0.006   0.006  092.075576  +24.515599 x 0
  104  06 08 18.33  +24 19 16.5   104   -8.704   -2.312  16.284   0.968   0.729   0.218   0.002   0.014   0.012  092.076389  +24.321250 x 0
  105  06 08 18.32  +24 25 02.3   105   -8.700    3.451  15.243   0.467   0.376   0.271   0.013   0.013   0.014  092.076341  +24.417300 x 0
  106  06 08 18.34  +24 26 31.3   106   -8.695    4.935  16.099   0.634   0.502   0.311   0.003   0.006   0.003  092.076401  +24.442033 x 0
  107  06 08 18.40  +24 20 47.8   107   -8.686   -0.790  16.412   0.853   0.657   0.243   0.010   0.011   0.011  092.076686  +24.346617 x 0
  108  06 08 18.62  +24 30 10.1   108   -8.626    8.582  15.903   1.143   0.940   0.336   0.013   0.017   0.017  092.077589  +24.502817 x 0
  109  06 08 18.79  +24 19 48.7   109   -8.599   -1.776  16.847   1.272   1.068   0.859   0.021   0.021   0.024  092.078298  +24.330186 x 0
  110  06 08 18.76  +24 28 46.6   110   -8.597    7.190  15.611   0.596   0.460   0.312   0.008   0.014   0.008  092.078149  +24.479618 x 0
  111  06 08 18.84  +24 19 18.4   111   -8.588   -2.280  14.136   1.839   1.730   1.764   0.016   0.016   0.016  092.078509  +24.321786 x 0
  112  06 08 18.90  +24 13 00.3   112   -8.581   -8.583  15.756   1.589   1.383   0.929   0.005   0.006   0.012  092.078768  +24.216737 x 0
  113  06 08 18.98  +24 12 15.6   113   -8.565   -9.327  15.767   1.043   0.850   0.228   0.004   0.015   0.007  092.079075  +24.204337 x 0
  114  06 08 19.06  +24 28 35.7   114   -8.528    7.008  14.657   0.872   0.737   0.173   0.008   0.015   0.008  092.079416  +24.476586 x 0
  115  06 08 19.18  +24 22 02.5   115   -8.508    0.454  13.296   1.937   1.842   1.938   0.002   0.013   0.002  092.079917  +24.367354 x 0
  116  06 08 19.32  +24 19 29.6   116   -8.478   -2.094  15.072   1.406   1.244   0.859   0.000   0.005   0.001  092.080517  +24.324888 x 0
  117  06 08 19.56  +24 17 39.2   117   -8.427   -3.934  16.344   0.885   0.662   0.171   0.004   0.012   0.008  092.081488  +24.294222 x 0
  118  06 08 19.92  +24 12 33.4   118   -8.350   -9.030  15.393   1.559   1.367   1.007   0.001   0.010   0.019  092.082998  +24.209291 x 0
  119  06 08 19.88  +24 25 04.8   119   -8.346    3.493  16.091   1.095   0.929   0.384   0.003   0.018   0.021  092.082819  +24.418007 x 0
  120  06 08 19.99  +24 31 16.9   120   -8.314    9.695  14.798   0.809   0.602   0.382   0.006   0.006   0.011  092.083281  +24.521373 x 0
  121  06 08 20.10  +24 23 09.5   121   -8.297    1.571  15.531   0.537   0.393   0.232   0.009   0.013   0.009  092.083755  +24.385974 x 0
  122  06 08 20.19  +24 21 51.0   122   -8.278    0.262  14.852   0.892   0.739   0.179   0.004   0.006   0.004  092.084129  +24.364158 x 0
  123  06 08 20.33  +24 21 34.1   123   -8.246   -0.020  16.446   0.886   0.666   0.179   0.016   0.017   0.016  092.084720  +24.359459 x 0
  124  06 08 20.38  +24 27 53.6   124   -8.228    6.306  12.519   0.622   0.523   0.072   0.002   0.014   0.003  092.084924  +24.464892 x 0
  125  06 08 20.48  +24 21 53.0   125   -8.213    0.295  15.706   0.975   0.786   0.193   0.007   0.010   0.009  092.085317  +24.364709 x 0
  126  06 08 20.84  +24 27 17.9   126   -8.124    5.710  14.797   0.890   0.746   0.159   0.004   0.008   0.008  092.086839  +24.454961 x 0
  127  06 08 20.93  +24 11 15.7   127   -8.121  -10.326  11.749   0.677   0.534   0.052   0.012   0.018   0.019  092.087208  +24.187695 x 0
  128  06 08 20.89  +24 28 17.9   128   -8.111    6.710  16.230   0.918   0.730   0.220   0.007   0.014   0.008  092.087058  +24.471627 x 0
  129  06 08 20.92  +24 28 11.2   129   -8.105    6.599  16.892   0.998   0.729   0.174   0.014   0.018   0.015  092.087170  +24.469777 x 0
  130  06 08 21.01  +24 27 45.9   130   -8.086    6.178  14.955   0.890   0.743   0.184   0.006   0.006   0.006  092.087526  +24.462761 x 0
  131  06 08 21.04  +24 27 44.6   131   -8.078    6.156  15.035   0.923   0.767   0.189   0.006   0.006   0.007  092.087673  +24.462395 x 0
  132  06 08 21.08  +24 21 28.7   132   -8.076   -0.110  15.710   1.004   0.827   0.201   0.006   0.010   0.007  092.087832  +24.357962 x 0
  133  06 08 21.10  +24 18 44.9   133   -8.074   -2.840  16.945   0.993   0.799   0.263   0.002   0.004   0.011  092.087921  +24.312462 x 0
  134  06 08 21.13  +24 30 25.8   134   -8.054    8.842  16.602   1.122   0.888   0.308   0.010   0.013   0.020  092.088060  +24.507161 x 0
  135  06 08 21.40  +24 16 47.8   135   -8.009   -4.791  16.654   1.096   0.990   0.586   0.007   0.007   0.017  092.089148  +24.279947 x 0
  136  06 08 21.43  +24 21 49.8   136   -7.995    0.243  13.363   0.781   0.619   0.104   0.014   0.018   0.014  092.089307  +24.363846 x 0
  137  06 08 21.44  +24 25 06.8   137   -7.990    3.525  16.998   0.859   0.667   0.263   0.012   0.021   0.032  092.089335  +24.418546 x 0
  138  06 08 21.49  +24 28 34.2   138   -7.976    6.982  15.723   1.053   0.828   0.284   0.002   0.012   0.004  092.089525  +24.476163 x 0
